Turn,Speaker,Speech
1,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Buenos días. ¿Cómo les trata la vida? ¿bien? Me da mucho gusto.
2,ROCÍO NAHLE GARCÍA SECRETARIA DE ENERGÍA:, Buenos días. Con su permiso señor presidente.
3,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Sería importante para transparentar todo que se ponga la carta que esa noche envió Rocío Nahle secretaria de Energía al secretario de la OPEP.
4,ROCÍO NAHLE GARCÍA:, Así es. Dirigida al señor Mohammed Barkindo secretario general de la OPEP. Dice
5,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Esto es lo que tiene que ver con el acuerdo de reducción.
6,PREGUNTA:, Presidente buenos días. Son dos preguntas para la secretaria de Energía o si es posible que nos las conteste el director de Pemex.
7,PRESIDENTE ANDRÉS MANUEL LÓPEZ OBRADOR:, Yo creo que Octavio.
8,OCTAVIO ROMERO OROPEZA DIRECTOR GENERAL DE PETRÓLEOS MEXICANOS (PEMEX):,"OCTAVIO ROMERO OROPEZA DIRECTOR GENERAL DE PETRÓLEOS MEXICANOS (PEMEX): Con su permiso presidente.
Bueno en relación a la capacidad de almacenamiento de crudo que tenemos en el país alrededor de 11 millones de barriles es nuestra capacidad. Hoy la tenemos a la mitad tenemos una capacidad de almacenamiento… Este era un problema que se venía teniendo en Petróleos Mexicanos durante muchos años, inclusive la falta de capacidad de almacenamiento obligó en varios años sobre todo en los tiempos de los nortes a cerrar producción.
Durante todo el año pasado estuvimos trabajando mucho en la rehabilitación de depósitos en las cavernas salinas y hoy día sobre todo ahora que están muy bien los tiempos sobre todo en el mar que es donde se exporta tenemos una capacidad suficiente es decir para las condiciones que veníamos operando."
9,INTERLOCUTOR:, Director de Pemex ¿de 11 millones de aquí a que de nuevo el mercado se levanta?
10,OCTAVIO ROMERO OROPEZA:,OCTAVIO ROMERO OROPEZA: Bueno nosotros ahorita estamos vendiendo hasta el día de hoy continuamente no se han caído nuestras ventas de manera que no hemos necesitado ocupar la capacidad de almacenamiento siempre tenemos reuniones semanales para ir midiendo cómo va nuestra capacidad de almacenamiento y viendo con PMI que los embarques se hagan que no se nos vaya disminuyendo la capacidad de almacenamiento previendo lo que pudiera venir.
